tweet,sentiment,emotion,class
erode east election area la iruka ellarukum ithe mathri  Raja  life than DMK kudukuranga nengalum ponga ungalukum kedaikum   Election varaikum nengalum Raja   than,positive,surprise,non bully
Nee eanda oppari vachuttu iruka kothadima   Adhu avanga personal matter,negative,sad,bully
Maharaja Ne inum polaya  kolaichutey iruka biscuit venuma,negative,disgust,bully
surya    Tweets  Enada Sound Matum Kekudhu Aala Kaanum Anil Punda Dai Enga Iruka,negative,anger,bully
Nallarkum na  Oru   pasanga iruka gang  kola seira Vela   oru payan amaithi hero    ponnu ooma  heroine   Ivanga rendu perayum sethu vaika frnds try panni sanda vanthu sethuduvanga  hero avangala kola pana poi sethuduvan  Antha ponnu thaniya railway station la wait pannum,neutral,sad,non bully
rg  Athu epdi da katchi la iruka ellarume ivlo thathi ah irukinga varalaru kooda teriyama first poi athelam terinjutu vandhu aprm     rs ku naaka thonga potu thiringa ipdi,negative,sad,bully
tweetz WWE paakran pola avlo vettiyavaa da iruka,negative,happy,bully
SemayA iruka,positive,happy,non bully
Enga area la elar veetlayu garden maintain panuranga  Iruka konjam place la,positive,happy,non bully
T    nataraj   Adhu onu dhan iruka   vera ilaya,neutral,sad,non bully
Enga side Keka vendiya avasiyame illa Bro    Andha page arambichadhula irundhu pona Superstar bday varaikkum ungalukku support thana panitu irundhuchi andha page    Oru limit ah thandi pona    followers Iruka id oo    k Iruka id ohhhh  React Pani dhan avanum,positive,happy,non bully
Bro brain la iruka vungaluku  Nethu chila release aagiruku so list la iruku  Athum views la patha eangala vida kammi ah tha irukum  Chuma vai eaduthu vanthuruvia bro  Paithiyama Ivan ngra feel tha varuthu vuna paatha Leo,negative,disgust,bully
Unga fans in quotes ' adhu Ajith ah sonaru ' Neenga ' Suriya nu sandhegam '  Yaarra vena irukatum   aana athu vijay ah Iruka kudathu   ipdidhan Iruku neenga pandrathu,negative,disgust,bully
En manasula iruka barame koranjuruchu,positive,happy,non bully
Rajini ku blockbuster iruka,positive,surprise,non bully
Maharaja Dey yen da naai maari pinadiye vandhu reply panitu iruka    dha chi po,negative,disgust,non bully
Thiruttu theeviravadha DMK la iruka nee pesadha pechada     Adipom  mbuvom nu pesitu Kadasila bayandhagoli DMK boys tweet ah delete pannitu ooduna kadhai ellam theriyadha,negative,disgist,non bully
naan mean pannadhu en following la iruka SK mutuals ah other actor mutuals illa  Unwanted fight pannitu irundhanga,neutral,sad,non bully
Edukuthu Heroic movie tamila iruka iruntha link venum,neutral,surprise,non bully
SK na cameo iruka illaya Rls date,neutral,surprise,non bully
Indha interview link Iruka,positive,surprise,non bully
Nenga indha poster la mention panni iruka endha theater la yum booking open avala and movie podala    Total ah chennai full ah   show dhan pottu iruknaga     what's the issue    Ivalo mosama release na pathadthu Ila     Thugs,negative,disgust,bully
Graham potter   En magic iruka bayamen adutha stop ICU ward thaan,negative,surprise,bully
Maharaja Ne dha da vandhu kadharitu iruka Inga mental thayili   yen ipdi kadharura,negative,disgust,bully
Navv Danny anna Marvel movie lam iruka na   Periya aal poliye ne Singam,positive,surprise,non bully
Emarurathuku makkal iruka varaikum pori namathu pogathu,negative,happy,bully
Ithan ivanga kita iruka prachana   Ipo nee nalla irukurathala antha ponna avanga appa amma un kita irunthu pirichathu sarinu agidathu   anthaluku tq vera   nengale ipdi enathayachum nenachi manasa thethikurathukaga ipdilam lam potukitu irukurathu,neutral,sad,non bully
Ipo lam yaru apadi iruka,neutral,sad,non bully
umar    offll I don t think so velinaatukaran low cost labor demand iruka varaikum inga ela IT industry work aagite irukum,positive,happy,non bully
MA Fighter Id still iruka,positive,happy,non bully
Nice bro   anga Indian shops lam Iruka,positive,happy,non bully
Thevdiya payale  Link kaami da  Nee claim panrathuku proof iruka daa naaye,negative,anger,bully
Modhala unaku neyavagam iruka ne yaru nu,negative,happy,bully
En manasula iruka barame koranjuruchu  seri enga ipdi unpopular opinion solli oorula kadichi vekka poranga nu dhaan pesave illa,positive,happy,non bully
Gumunu iruka,positive,happy,non bully
Praveen   ithulam yaaru soldranu paatha  pathu thala oompu thala nu D fans kita poola oompitu iruka sombhu koothiyan fan oru poolum aatala ivanunga D ku competitor nu ooru fulla oompitu varanga ootha oru record mairum kedaiyathu keta D ku competitor nu D fans poola oompa vendiyathu,negative,disgust,bully
Dei sunni   fan punda ilama thana thunivu la serupadi vangitu ukanthu iruka  inu vekam ilama pesitu irukan   naga le compare panrathu ila   Vodafone dog mari pinadi varathu mudevj,negative,anger,bully
Enna da olari kettu iruka beak uh koothi badey olunga pesuda       Son of gun chuthiya  Punda,negative,anger,bully
perk Varalaya nee paatha   Vandharajavadhan varuven padathuku banner la iruka simbu fans kuda varalaye,negative,disgust,bully
Ipo than Manasu la iruka Pain la pona madri  oru feel Tks Bro    Endrum nan MakkalNayaganAzeem  Fan,positive,happy,non bully
s Entha Mari anupavam iruka,positive,surprise,non bully
Idhe mathiri few years back  naanum WhatsApp chat Inga share panne  en team la iruka oru paiyan comment la vandhu  boss ningalaa idhu nu shock kuduthutan,positive,surprise,non bully
Tire   irunthutu vijay ah oomba vara pun   po dhanush sk soothaduchutu iruka unakku avana beat pannu po,negative,anger,bully
Stan  Unnala movie ripper kitaiyae pesiten da    vera sunnxt iruka nu ketruken papom,positive,sad,non bully
Eppoda nu iruka nee,neutral,sad,non bully
Indha maari iruka virumbhuguran   idha bookmark panni CSK vs MI match appo thookitu varan,neutral,surprise,non bully
Crct rmba kaduppa iruka,negative,sad,bully
Ajith varapa kootam iruka pic podu da,positive,surprise,non bully
offl Yovv ennaya ore gaaji ah tweet potuttu iruka,negative,disgust,bully
Annan oru vartha Sona Tamil Nadu la iruka ennamadri ntk katchi ilatha pilaigal pathukapukaga Annan pinala nippom,positive,happy,non bully
FZ  expiry    offl   Piyaan ah seruppala adichathe Avan than  aana kuda Avanunga thayavu illama pozhappu ota mudiyathu nu vekkame illama avanuku madaki pudichi mmbitu Iruka,negative,sad,bully
Unaku manam rosam iruka,negative,sad,bully
Morattu reverse jinx potutu iruka polaye,negative,surprise,bully
Ithey app la suthitu iruka,negative,anger,bully
aang   Yennaya pikkali thanama pesitu iruka pikkali thanama,negative,disgust,bully
Athreyada offl Anna saapdrathula enna puthusa Iruka poguthu     Just troll avlo than athum fans ah than   free ah vidunga,positive,happy,non bully
Yepdi iruka,positive,happy,non bully
Answer iruka   Duplicate certificate dei  k   Sombu thuki    BJP,negative,anger,bully
Kartikeyan   Edho Iruken Madam  Enna Nyabagam Iruka,positive,surprise,non bully
Space podra Idea iruka da Junni,negative,anger,bully
Lusu munda Move on aanalum enaku puducha actress photola simp panna dm pannitu iruka     Ivala epudra kandukama vitta  lusu koodhi dinesha nee,negative,anger,bully
BEmech Good when they come enaku clients iruka oor lam inum varala    Soon,positive,happy,non bully
Stray dogs should be controlled   neutering   put down   adoption    Should be combination of these    Illana ipdiyae kadi vaanginu iruka vaendiyathu thaan,negative,sad,non bully
Nee Nalla Dhan Iruka,positive,happy,non bully
Prince   Ni than da enaku mmbi vitutu iruka tata salt mavane,negative,anger,bully
Epdi Iruka,positive,happy,non bully
tweete     Lyca Tweet Iruka,positive,surprise,non bully
Nethan clg life enjoy panitu thana iruka,positive,happy,non bully
Sari athuku ya thalaivar ah side la pottu iruka antha wigmattayana top la pottu vachu iruka,negative,happy,bully
Maharaja  Rajini ku pudicha aalu    kamal mela iruka vanmatha solava venum,negative,sad,bully
Deii kulla inuma da nee muttu kuduthutu iruka   poitu     cr ah adinga da apro intha pakkam varalam,negative,anger,bully
ethuku    Crs nu katharitu iruka,negative,happy,bully
Idha dhan kaalam kaalama school la iruka aayanga pannitu irundhanga   The western world is just catching up with it,positive,happy,non bully
Unaku yena pa jolya iruka,positive,sad,non bully
Ila en mandaila ena kena punda nu ezhuthi iruka,negative,anger,bully
Lokesh  Offl Anga ungalala pathi Onnumey sollalaye  aprm yen Rolex nu Umbitu iruka,negative,anger,bully
sivam   Nala iruka,positive,happy,non bully
Rajeshlms  Annna  link iruka,positive,surprise,non bully
Next padathu director iruka    Illa  Ambala nu per iruka   Illa  Kuzhandha kuduka vakku iruka illa   Illa  Vijay kuda clash la jeichiya   Sethalum illa  Vaithula Thoppa iruka   Iruku  Killa rubber iruka   Iruku  Apo eluthu Ajith edhukkum vakku illadhavanu eludhu   leo  thunivu,negative,disgust,bully
Anna neengha director nu yaaro ungha aaz manasula poondhu nambha vachi iruka Andha idhula paa Ranjith vetrimaran maari selvaraj ku competition Vera,negative,surprise,bully
AK   innum official ah yedhuvum varala da Kulla Baadu  Ungala Madhiri Ool lam Vida Theriyadhu  Onnum illadha Kulla Thumaiku idhalam    Kuda Unmai Iruka Vaipilla da,negative,anger,bully
tweetz Neethan mendol maari ipo kaththitu iruka,negative,anger,bully
Offcl    Lokesh Idu paru ungamma   I've Pani sani Mari iruka munji paru ungamma,negative,disgust,bully
dhoorathula irundhu romba azhaga iruka dhevadhai ku nalam virumbi avlodhan     she s beautiful not just because the way she looks  but the way she behaves,positive,happy,non bully
Ni oru mental   nu prove pannitae iruka,negative,disgust,bully
Riya va video calla pathu kaiyadika kunju iruka da unaku avale una mutti setha punda sollita poitu thookula thoongu da  punda,negative,disgust,bully
Unaku mattum romba iruka bro     Unnoda tweet la ethanayo half boiled tweet iruku   mothalla namma kannadi munnadi paathu sollitu aduthavanuku advice vengayam ella sollalam bro,negative,disgust,bully
Offcl  Boozer Ipo iruka mb nilama adhaan,neutral,sad,non bully
Unmaya Sona yen kadharura  Avamanam ah iruka  Orama poi azhu da amai,negative,disgust,bully
Top   la Iruka movie  Adikadi maarite irukum,neutral,surprise,non bully
Enaku varisu deleted scene venum adhu iruka nu sollunga,positive,surprise,non bully
cr ku proof aamaiku iruka,negative,disgust,bully
Gomma kita kelu da  ava than Sottai kooda iruka,negative,disgust,bully
BindhuR  Survive pandradhu romba kastam nga    nammalala angalam iruka mudiyadhu   paaka asaiya dhan irukkum but winter will kill us there,neutral,sad,non bully
h   ne Ena inga aludutu iruka unaku enachu,neutral,sad,non bully
Avunga apdi irundha namalum apdi iruka koodadhu bro,neutral,happy,non bully
Nani birthday spl edit iruka    bro,neutral,surprise,non bully
tweetz  What a response  Adhu terinja Edhuku Unge kitte vare porange  Ungaluku edhavdhu kalatre vele iruka,negative,anger,bully
When someone says  En machan single a  iruka   commit agidu life jollya irukum  getha irukum   Le me,positive,happy,non bully
buddy chennai laya iruka,positive,happy,non bully
Kulla baaduku   cr oompa vakku iruka da   ne ellam oompa vanta,negative,disgust,bully
Namba ena senji irukomo atha soli vote kelunga Bro  inum antha generation la iruka pola neeum pesitu Avan adhu panitan edhu panitanu,neutral,sad,non bully
Adatum vidunga konja neram jollya irukatum   ipo iruka pasanga lam mobile tv laptop ney irukanga   intha kolanthayachum veliya vanthu vilayadatum,positive,happy,non bully
Sun nxt water mark oda iruka,positive,sad,non bully
Poi complaint kodu naaya thuppu iruntha Inga vanthu kaathrikittu iruka,negative,anger,bully
Yaara ne  writes  pona jenmathula gay ah perandhu en kunja sappitu irundhaya ena  Un kooda la interact panadhu kooda ila vidama aludhutte iruka,negative,anger,bully
Tamil iruka,positive,surprise,non bully
Chennai la iruka elarum safe pa iruka,positive,surprise,non bully
BindhuR            Ippadiye usuppu ethi vidunga   thala erkanavey hit list la iruka pola   takkunu comment ah Maathi naan appadi dhan da pannuven sollida poraru,positive,sad,non bully
Vazhkaila oru thadava kuda jootha muditu irunthathilla   ini iruka porathum illa,negative,anger,bully
Dei eppa filmfare eh vangiyachu nee ennada    varsham delay la vandhu korai soltu iruka,negative,anger,bully
Yov Admin uh Neemattum than ya enmala pasama iruka time ku crct aha sapda solli notification Send pannidura  Nee enga iruthalaum Nalla irupa ya,positive,happy,non bully
Pala varusham ah kuppula iruka ninga yenda kuruka varinga,negative,disgust,bully
Guys intha tweet la yethum tappu Iruka,positive,fear,non bully
Suriya    ethum update iruka bro,positive,surprise,non bully
Unna neeye soliko pundamavane negativity spread panitu iruka Kena Kudhi Punda orama Poi Umpu,negative,anger,bully
Boss Bakrid      is my guess    Maaveeran vs Agilan ah iruka neraya vaipu iruku   lets wait and watch,positive,surprise,non bully
Enoda old side lam nabagam iruka nae,positive,surprise,non bully
Mens clothes la avlo discrepancy iruka enna,positive,surprise,non bully
Already rendu kanathulayu naalu naalu idly adakitu iruka,positive,disgust,bully
Ellarum polambitu iruka post la vandhu  oruthan mattum flex pannitu irundhan,positive,surprise,non bully
Sk vachi poda theriyum fan fights lam vendam nu iruken   Athu yaen ena vida elder ah iruka avaruku puriya maatinguthu,positive,sad,non bully
Namma    ovr apdi ipdi nu aaduna kooda last over la neraya game jeichom adhuku kaaranam Namma batting Hussey Faf Jaddu  Ms Raina  Ivangaluku adhudhan polappe Namma team la  Bravo edhadhu oru match dhan apdi aadi irupan adhu kooda naama nambi iruka maatom,positive,happy,non bully
Ne dha da ivalo Avalo nu Vaai Vittutu Iruka  ne Sollu Aprm Na Soldren,negative,disgust,bully
Election commission iruka,neutral,surprise,non bully
Ne oru girl ne ipdi Dan irukanum    Idha Dan pananum nu na rules LA poda maten  Ne independent ah iru      Oru time relatives avarkita Ena unga ponnu ipdi pesitu iruka istathuku iruka neenga kekardilaya nu ketaduku  en ponna pati enaku terium nu oru statement Dan sonaru,neutral,anger,non bully
swiping on left on these hot vadak boys thinking they are way too over my league  only for me to receive  You missed a potential match   Match aanalum oneum kilichu iruka maaten  so is coool,negative,happy,non bully
Nalladhu seiyama rendavadhu vaati PM aaki iruka maatanga  neenga nalladhu seiyama dhan ungala rendavadhu vaati aatathukey serthukuradhu illa  finance min serupala adicha madhiri badhil solla start pannadhum soodu vecha madhiri therichu odura gumbaluku pecha paaru,negative,anger,bully
ennapa ellarum thidirnu ipdi kilambureemka urutta iruka pothu,positive,surprise,non bully
Aadithya  Ne enda mutta kothiya iruka athan da prechana,negative,anger,bully
Ena panra madam DMK Mari sapptu unaviratham iruka num,negative,disgust,bully
paravalaye inu nyabagam iruka,positive,surprise,non bully
Paatta Intha print la full movie link iruka bro,positive,surprise,non bully
Prime la iruka,positive,surprise,non bully
Thappu panranga bro intha Dhanush  Simbu lam padam nalla kuduthutu atha nalla business panna matranga   ithu romba thappu  Sumara iruka SK movies lam collection aagum pothu ivangalukku lam inna kora,negative,sad,bully
Konja neram sandhosama iruka vidringala da,positive,sad,non bully
deii unaku arivu iruka illaya da,negative,anger,bully
Ne inumaaaa itha urutitu iruka    yabaaaa ulaga Maga nadipu daw saami,negative,disgust,bully
Jana Governor tweet keela Iruka comments parunga oruthan TRB Raja ah tag panni  sir arrest him  nu potu Irukan,neutral,surprise,non bully
Ada paadu pasangala oruthakuda va road la iruka mattanunga,negative,surprise,non bully
expiry   Oru    ruba thiruttu pona kuda anga Iruka ellam santhega padra moonji ah vechitu nee pesriya da A IdS thevangu    Suriya,negative,disgust,bully
Alien      Adiye Anil sotta koothi enaku pesa theriyathunu soldriyedi oore ootha itemku porantha  uh ushhu thevidiya Munda naa sonna varthaya nee soldriyedi apo unaku mattum pesatherithadi thevidiya Munda     nee ennoda entertain di naa free ya iruka timela una opa,negative,anger,bully
Ithuku proof iruka Loosupundai iruntha kattu illana nee oru,negative,anger,bully
Pasanga olukama irukanum nu padam eduka thuppu iruka unaku,negative,anger,bully
Naa deputy manager da Sunni  Anil kuchian nenachaya kotha  En pola pudichi sappu appothavathu arivu punda varum  engineer ahm nee innum oompittu than iruka,negative,anger,bully
evarae photo edupara evarae oru account create panni athula poduvara   ketta yennoda fans yenmela iruka athitha pasathula fan page create panni avarukae theriyama photo eduthu poduraghala   unnaku vantha Ratham  Mathavaghaluku vantha Thagalichuti,negative,disgust,bully
ivanuku dupe lam iruka,negative,surprise,non bully
movieholic  Karthick Neyum en vibe la dhn iruka,positive,surprise,non bully
Oh innu    varusham iruka     Talk to some one in early twenties    Today is tat    years,positive,surprise,non bully
rg Full video link iruka,positive,surprise,non bully
strr Ne dha ela aunty number um vachi iruka,negative,disgust,bully
Enna takkunu U certified maari suthitu iruka,negative,happy,bully
Adhuku neega Inga iruka yaravadhu nakka kupudanum,negative,disgust,bully
MA Fighter   Lokesh Yaara nee daily koovitu iruka,negative,anger,bully
Enna Mr  Thirumavazhavan    akka Kaal la seruppu iruka illiya,negative,surprise,bully
TN la SK Beat Panna Vakku Iruka sa Kulla Thuma,negative,anger,bully
Ennana iniku overtime pathu kadichitu iruka,negative,sad,non bully
Aparam epadi theriyama iruka,positive,surprise,non bully
Ohhhh kilamburadhula ivlo iruka,positive,surprise,non bully
SuriyaFC Ivalo place la Kullanuku Strong ah Iruka  Seri Aprm yen Innumum SK Kaaluku Kizha Irukinga,negative,disgust,bully
ne en da inu bhoomi ku baarama iruka,negative,disgust,bully
me  Hema Pic   iruka  um favorite,positive,surprise,non bully
Aprm ena pundaiku quote panni iruka  Quote panna unoda tl varum kuda theriyathu thariku anil la irukiya da,negative,disgust,bully
ada mada punda   naa Tamil dhan otha      nee dhan bio la Telugu marati nu oombitu iruka,negative,anger,bully
Manusan vaazhndhaan ya Idhu correct ah iruka,positive,happy,non bully
Ungomma soothulaya vro proof iruka ila gunivu maathiri unga dala vada suda poriya,negative,disgust,bully
Unga olukam velakenna ennaku northeast ponnunga kittayum kashmir makkaltayum ketta theriyum  Entha thairiyathula oru makkal thernthedutha governmenta meraturanunga  Ulagathula iruka Ella military karanum orey marithan,neutral,sad,non bully
pharmacist   Intha Beauty parlour paradesi mava pakka DMK hatred vachu serupadi vangitu iruka,negative,sad,bully
Yes bro   got an option to move there but tax kagave venaam nu solitean  Just almost     salary angaye spend panra mathiri thaan iruku  athuvum with kids education fees ellam iruntha gaali  No one will understand this   ellarukum unakenna pa foreign la iruka thaa solvaanga,neutral,sad,non bully
Naanum santhosama  illa namma kooda irukavungalum nammalaala neemathiya  iruka mudiyala  life,neutral,sad,non bully
off Part kertu tu punda idhalaam dhanush Vijay sethupathy laam vaanguna dummy punda padatha  Evanaachu paapana naaruna pundaiku    crore elaam flop pundaiya vachukittu  otha alu nee mattum iruka idha vachukittu indha dummy pundaiya enada pandrathu,negative,disgust,bully
Joker Athan ava Iruka la,neutral,disgust,non bully
iyar Full tym ne dha nyabagathula iruka Ena panradhu twitter varadhae una paka dha,neutral,sad,non bully
Dei kurutu bunda Evan da ipo muttu kuduthathu thapuna thapunu soltu poga poranuga avlothan  Ne dhan animals kunja saptitu iruka,negative,disgust,bully
enna nei jolly ah iruka pola,positive,happy,non bully
Tweetz    kyootie Dei nee Ella proof vechu Iruka,neutral,sad,non bully
Doli username crt ah vechu irukenga      Aprm iva anil ila da     Vaaram vaaram oruthar ku fan ah irupa    Joker dei neeyum avala matri crt ah username vechu Iruka   jodi porutham pakkava iruku,neutral,disgust,bully
R AK  Ne dhaan da wanted ah vandhu azhudhutu iruka tharkuri,negative,anger,bully
expiry   yenda mela iruka video paaru da award oda adhu perusu   adhuve vijay kita iruku nee ennada award illanu comedy panninu iruka,neutral,surprise,non bully
Ant King  India la iruka dogsla etho onu rendu miruga thanama iruntha  Athuku Karanam animal lovers   Seri intha rape murder ku lam manushan pudingiyathu ena     Its an accident it hurts search for solution  Bunda mari pesitu irukatha,negative,disgust,bully
twitz  Neengale uyiroda irukumm podhumm naa iruka matenn ahh,negative,disgust,bully
Adhu Epdi Oruthanum Kanduka en tweet ah nee matum quote pandra    Uppu Pocket Fulla vachitu iruka polaye,negative,anger,bully
Engayo oru Amala oru pona rape pani kolran  Athuku un sunnya aruthu Vita epdi irukum  Arivu bunda mairu alvula iruka Naaya kaal eduthu adicha athu solution illa violence Dare will you do this to an elephant and wild animals   Don't show your strength to weak people,negative,disgust,bully
Indha naai innum kadharittu than iruka bro  Naan oru kelvi ketan badhil illa  Neenga oru kelvi ketinga badhil illa  Rajini sangi nu kathitu odiruvan  Vijay madhiri ye oru impotent pola,negative,anger,bully
Dei  Unaku elam Manasakshi nu onnu iruka da Vikatan mandaiya    Ne ye sollu da ethana naal paendavar katchi kaga ulaichaaar nu    Biggboss  movie shooting  ku nadula epavacum holiday break kedacha mattum dhan  ivaru katchi vela paaparu   idhu oru katchi nu mark vera podanuma,negative,anger,bully
Drone la hidden video eduka mudiyathuda nixa     Chinna pillayave iruka,positive,disgust,bully
Omma punda ipa ni taanda aludutu yen tweet ku la quote tweet panitu iruka     modala vatisu original collection    crores nu original number ah terinji vandu en pooluku vaii podu poda punda,negative,anger,bully
Omma ku punda iruka modala pottaiku tana poranda ni    clash la soothadichi vitadu patada ungala modala ambala madiri nadanduko eduku vijay madiri panra,negative,disgust,bully
kumar   Unga amma koodhi kilicha vijay Kamal kita keka vendiya kelviya eduku yen kita kekuram mixed sprem    because ni enakum matum illa enaku vijay Kamal nu elarukum porandu iruka    apa unaku   appa va       poi enitu va po,negative,disgust,bully
Yov editor nee poidu vettiya post thana potutu iruka,neutral,disgust,non bully
Dei dei mentalu   Again mental mari arambikatha da    unaku ipo peasa onum ila athanala penathikitu iruka   Athe than keten ipo madungaluku kanji thani veikuratha niruthi konudalama  Athuku ans panama katharitu iruka,negative,disgust,bully
Padathaye Ott la vitutu yarra nee komali song ah Vida ivlo anathitu iruka,negative,anger,bully
kumar   My dear thevidiya paiya  paithiyakara koodhi ni tanda en comment section la kadaritu iruka     unaku already piles vandu adula raththam seel vandudu ootudu pola     unga  amma  va na ta potanu unaku teriyuma ilaya da gay punda,negative,anger,bully
ben  Nee en ya oruthan potadha ipdi Ela pakamum potutu iruka,neutral,sad,non bully
Kasa kasa nu iruka,neutral,sad,non bully
dmk Thayavusenju intha paatiku paathukapu kudunga   Please intha naainga bera kamunu iruka matanungaa,neutral,sad,non bully
Yov yov   Ne unmaiyave ipdi thana ila nadikuriya  Therula iruka    naiyayum vetukula vechi valaka mudiyathunuthan porapo varapo ethachum vangi podrathu   Domesticated animal na vetukula matum than vechi valakanuma  Saraku potrukiya,negative,sad,bully
Man   Epdi iruka,positive,surprise,non bully
So only Vera ethachum que iruka illa na poi edit pannava Rmb nerama pending la iruku,neutral,sad,non bully
Madan Enada sotta     mukitu iruka,negative,anger,bully
Trailer late ah parthavanga like podunga,Positive,happy,non bully
Move pathutu vanthu trailer pakurvnga yaru,Positive,neutral,non bully
Puthupetai dhanush  ah yarellam pathinga,Positive,surprise,non bully
"Dhanush oda character ,puthu sa erukay , mass ta",Positive,happy,non bully
vera level ippa pesungada mokka nu thalaivaaaaaa,Positive,happy,non bully
Thala mass . U1 bgm.     Vera level,Positive,happy,non bully
ivara pathta death vara madiri irukku,Negative,disgust,non bully
kids reference  Maadila irunthu kudicha Shakthiman kaapathvaaru,Positive,happy,non bully
Aiyoo thala mass pannita thala,Positive,happy,non bully
ENPT ku kaathu kadanthathellam oru nimishathula poiruchu,Mixed_feelings,sad,non bully
When Pandey gets up  Vandumurugan : IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN,Negative,angry,bully
Remake of Malayalam Mohanlal movie Devadoodhan,Negative,neutral,non bully
Tharamaana sirappaana sambavam inimeal ta paaka pora....,Positive,happy,non bully
Viswasam trailer paathutu Inka vanthavanga like panuga,Positive,happy,non bully
Maran  kattu kattitamnue verithanam thaliva,Positive,happy,non bully
Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa,Positive,happy,non bully
Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....,Positive,happy,non bully
En thalaivan vijaysethubathi kaga matume na padam papan matha entha p..... illa,Mixed_feelings,disgust,bully
Kanithan and mugamoodi Neenga nambalainalum ithan nesam,Positive,neutral,non bully
Enakku iru mugan trailer nyabagam than varuthu,Positive,neutral,non bully
ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE,Positive,neutral,non bully
Sakthimaan fans like Sivakarthikeyen fans comment,Mixed_feelings,neutral,non bully
rajini and akshay fans hit like,Mixed_feelings,happy,non bully
1 hour 1 million likes,Positive,neutral,non bully
Raww vana padama iruku  all the best,Positive,happy,non bully
Thalaiva.. full Support from kerala Mohanlal Fans,Positive,happy,non bully
En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae,Negative,sad,non bully
Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa,Positive,happy,non bully
Rajini ah vida akshay mass ah irukane,Negative,happy,non bully
Thala koda compare panna yarukum thakuthi kidaiyathu mind it,Positive,disgust,non bully
Marana mass marana style marna gethu mass trailer rajini,Positive,happy,non bully
Paruthiveeran Karthi Back  Lokesh Kangaraj Screenplay,Positive,happy,non bully
Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.,Negative,angry,bully
Poda mokka moonj unna pathale siriputhan varuthu super herovaam adutha mugamoodiii,Negative,disgust,bully
dei kelthu kuthi ajith ivana yaru nadika sona,Negative,angry,bully
Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana....,Negative,disgust,bully
"Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu  Superb lines",Positive,sad,non bully
Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...,Positive,neutral,non bully
Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...,Positive,happy,non bully
epdi like pottavan Eallarum seathupogada,Negative,disgust,bully
Super dhanush Anna mass waiting asuran,Positive,happy,non bully
Vera lvl thalaiva u r great,Positive,happy,non bully
Ellam avan sayal movie mathiriya irukku,Positive,neutral,non bully
Boss you looking so handsome and young,Positive,happy,non bully
Pattaya kelapitey Siva!!!  Awesome!!!,Positive,happy,non bully
chitii come back I am waiting get ready to 2.0,Positive,happy,non bully
"Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala",Negative,sad,non bully
"Looks thrilling, thala get up super as lawyer , dai pandey neeya da",Positive,surprise,non bully
Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga,Negative,sad,non bully
Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR,Positive,surprise,non bully
Thala da    By thalapathy fan,Positive,happy,non bully
Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga,Positive,neutral,non bully
Hey Makkalay yaaru Darbar Motion Poster announcementku apram vantheenga,Neutral,neutral,non bully
Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super,Positive,happy,non bully
Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....,Positive,happy,non bully
But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam,Positive,sad,non bully
Semmma style... rajini sir is back...,Positive,happy,non bully
My Dear Thala ahhhhhhhhhhhhhh semma GETHU,Positive,happy,non bully
Idduke 500 va tarlam... kolla mass,Positive,happy,non bully
Movie savadi vera level poo..thalaivar thalaivar thaa..mass,Positive,happy,non bully
Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.,Positive,happy,non bully
92k views 132k likes  Fraud,Negative,neutral,non bully
3 minute trailor vida thil irukkaa....bollywood la panranga....tamila mudiyuma?,Positive,neutral,non bully
Dai ranjit nee idha parthu film eduka kathuko,Negative,disgust,bully
Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura,Positive,sad,non bully
Superb  Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum,Positive,happy,non bully
Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....,Positive,happy,non bully
1:36 *thaa enna look-u daa saami  That bgm lit,Positive,happy,non bully
Guyzz 1m likes vara varaikum vitraadheenga...,Positive,happy,non bully
